Name of taxa,Family,Plant group,PresenceInData,"Plant
Arenaria_neelgherrensis Wight_& Arn.,Caryophyllaceae,Angiosperm,0,Dicot,Herb,NE,Annual,"Minimarg,
Diskit","4826-SAZ,
37995-
KASH",,
Arenaria_polytrichoides_Edgew.,Caryophyllaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Chang La,
Rumtse, Miru",4827-SAZ,,
Name of taxa,Family,Plant group,0,"Plant
sub-
group",Habit,"IUCN
Status",Lifespan,Locality,"Voucher/
Accession
No.",,
Arenaria_serpyllifolia L.,Caryophyllaceae,Angiosperm,0,Dicot,Herb,NE,Annual,"Khardong La,
Changthang,
Phang, Meroo","4829-SAZ,
38024-
KSH",,
Arenaria_serpyllifolia L._subsp. leptoclados_(Rchb.) Nyman_(=Arenaria_leptoclados Boiss.),Caryophyllaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Nubra valley,
Drass","4830-SAZ,
42181-
KASH",,
Argentina anserina_(L.) Rydb._(=Potentilla anserina_L.),Rosaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Nubra valley,
Lamayuru,
Zanaskar
valley, Drass,
Pangong,
Nyoma,
Lom, Leh,
Shey, Hanle,
Rhongo, Alchi,
Suspol","6206-SAZ,
39007-
KASH",,
Argentina_sericophylla_(R.Parker) SojÃ¡k_(=Potentilla_sericophylla_R.Parker),Rosaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Kargil, Kanji",__,,
Aristida adscensionis_L.,Poaceae,Angiosperm,0,Monocot,Herb,NE,Annual,"Chutuk,
Kurbathang,
Trespone","21981-
KASH",,
Aristida cyanantha_Nees ex Steud.,Poaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,Chang La,__,,
Arnebia euchroma_I.M.Johnst.,Boraginaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Drass,
Zanaskar
valley,
Chiktan,
Changthang,
Skuru, Chang
La","5100-SAZ,
26355-
KASH",,
Arnebia euchroma_I.M.Johnst._subsp. euchroma_(=Macrotomia_perennis (Schrenk)_Boiss.),Boraginaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Drass,
Zanaskar
valley,
Chiktan,
Changthang,
Skuru, Chang
La","9210-SAZ,
27343-
KASH",,
Arnebia euchroma_I.M.Johnst. subsp._grandis (Bornm.)_Riedl (=Arnebia_euchroma_I.M.Johnst. var._grandis (Bornm.)_Kazmi),Boraginaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Sapi, Batalik,
Turtuk, Kanji,
Tangole,
Rangdum,
Penzi La","8901-SAZ,
29351-
KASH",,
Name of taxa,Family,Plant group,0,"Plant
sub-
group",Habit,"IUCN
Status",Lifespan,Locality,"Voucher/
Accession
No.",,
